MigRef,OffLaw,OffPol,ProPro,ProCon,CloseUp,Children,Border,GroupsRef,GroupsOff,TransLand ,TransSea,Moving,Waiting,violence,Graph,Map
http://static3.uk.businessinsider.com/image/55f02108dd0895a6428b45e0-3786-2524/rtx1rmwg-1.jpg,http://static3.uk.businessinsider.com/image/55f6cef1dd08952a3a8b4574-3000-1994/rts10vu.jpg,http://images.huffingtonpost.com/2015-04-23-1429809477-6429560-10BoatPoliticians-thumb.jpg,0,0,http://ichef.bbci.co.uk/news/660/cpsprodpb/C43B/production/_85253205_028637194-1.jpg,http://graphics8.nytimes.com/newsgraphics/2015/04/17/mediterranean-libya-refugees/932de53ea71345eec9ff323c72a0a7752241bd05/images/MIGRANTS007.jpg,http://static1.uk.businessinsider.com/image/55f80958dd08952e3a8b4648-4400-2867/rts1531.jpg,http://graphics8.nytimes.com/newsgraphics/2015/04/17/mediterranean-libya-refugees/932de53ea71345eec9ff323c72a0a7752241bd05/images/MIGRANTS046.JPG,http://static3.uk.businessinsider.com/image/55f6cef1dd08952a3a8b4574-3000-1994/rts10vu.jpg,http://static2.uk.businessinsider.com/image/55f846f3dd0895373a8b4671-4400-3020/rtr4yr15.jpg,http://images.huffingtonpost.com/2015-04-22-1429736683-1192118-italiannavymigrants.jpg,http://static3.uk.businessinsider.com/image/55f02108dd0895a6428b45e0-3786-2524/rtx1rmwg-1.jpg,http://images.huffingtonpost.com/2015-04-24-1429841214-6837212-Lampedusa_noborder_20072.jpg,http://ichef.bbci.co.uk/news/660/cpsprodpb/C43B/production/_85253205_028637194-1.jpg,http://static4.uk.businessinsider.com/image/55f8446add08952d3a8b4679-608-885/screenshot%202015-09-15%2012.10.01.png,ef-1.bbci.co.uk/news/624/cpsprodpb/32F6/production/_85164031_migrant_journeys_turkey_to_germany_624.png
http://ichef-1.bbci.co.uk/news/624/media/images/83447000/jpg/_83447250_7642d7ed-115c-4ce5-bb44-ae8159c1a6bf.jpg,http://gdb.voanews.com/DB4EC1D0-8860-412B-95D9-396DACD7B959_mw1024_s_n.jpg,http://gdb.voanews.com/F56BFE67-C32B-400F-905A-CFED3C0D3313_w640_r1_s.jpg,0,0,http://ichef.bbci.co.uk/news/624/media/images/83447000/jpg/_83447252_baa4bab1-8474-4b1a-868f-1cece51dcf9c.jpg,http://gdb.voanews.com/72D33A9C-A6D6-4084-B5FB-86E7D0B60B84_mw1024_s_n.jpg,http://gdb.voanews.com/DB4EC1D0-8860-412B-95D9-396DACD7B959_mw1024_s_n.jpg,http://media.breitbart.com/media/2015/08/ap_ap-photo1000-640x427.jpg,http://gdb.voanews.com/DB4EC1D0-8860-412B-95D9-396DACD7B959_mw1024_s_n.jpg,http://ichef-1.bbci.co.uk/news/624/media/images/83447000/jpg/_83447250_7642d7ed-115c-4ce5-bb44-ae8159c1a6bf.jpg,http://ichef.bbci.co.uk/news/660/media/images/83447000/jpg/_83447226_83442309.jpg,http://ichef-1.bbci.co.uk/news/624/media/images/83447000/jpg/_83447250_7642d7ed-115c-4ce5-bb44-ae8159c1a6bf.jpg,http://gdb.voanews.com/72D33A9C-A6D6-4084-B5FB-86E7D0B60B84_mw1024_s_n.jpg,http://ichef.bbci.co.uk/news/660/cpsprodpb/C43B/production/_85253205_028637194-1.jpg,http://ichef.bbci.co.uk/news/304/media/images/75185000/gif/_75185353_illegal_border_crossings_304gr.gif,http://news.nationalgeographic.com/content/dam/news/rights-exempt/nat-geo-staff-graphics-illustrations/2015/09/SE_Asia_Migration_Routes_Map.jpg
https://ak-hdl.buzzfed.com/static/2015-09/14/9/enhanced/webdr12/enhanced-buzz-2778-1442237729-7.jpg,https://ak-hdl.buzzfed.com/static/2015-09/14/6/enhanced/webdr08/enhanced-24841-1442227736-5.jpg,http://images.centrepresseaveyron.fr/images/2015/10/07/le-president-francais-francois-hollande-d-prononce-un_990721_500x286.jpg?v=1,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS4tlSh9Nza7vEkHidC0_UP7Y98EEs2wxnboSmjQx1UJ2HqwFMBCw,0,http://www.courrierinternational.com/sites/ci_master/files/styles/image_original_1280/public/assets/images/000_par8305333.jpg?itok=_QE0qVOZ,http://ichef-1.bbci.co.uk/news/660/cpsprodpb/C43B/production/_85253205_028637194-1.jpg,https://ak-hdl.buzzfed.com/static/2015-09/14/9/enhanced/webdr12/enhanced-buzz-2778-1442237729-7.jpg,https://ak-hdl.buzzfed.com/static/2015-09/14/9/enhanced/webdr14/enhanced-15397-1442237332-1.jpg,https://pbs.twimg.com/media/COY4MLkW8AAA4xT.jpg,https://ak-hdl.buzzfed.com/static/2015-09/14/9/enhanced/webdr14/enhanced-15397-1442237332-1.jpg,http://www.alterinfo.net/photo/art/default/7703865-11918884.jpg?v=1429608314,http://ichef-1.bbci.co.uk/news/624/media/images/83447000/jpg/_83447250_7642d7ed-115c-4ce5-bb44-ae8159c1a6bf.jpg,http://gdb.voanews.com/72D33A9C-A6D6-4084-B5FB-86E7D0B60B84_mw1024_s_n.jpg,https://ak-hdl.buzzfed.com/static/2015-09/14/7/enhanced/webdr11/enhanced-32320-1442230292-1.jpg,0,https://ak-hdl.buzzfed.com/static/2015-09/14/12/enhanced/webdr14/enhanced-8225-1442247079-1.jpg
http://i.huffpost.com/gadgets/slideshows/446734/slide_446734_5944212_compressed.jpg,http://gdb.voanews.com/DB4EC1D0-8860-412B-95D9-396DACD7B959_w640_s.jpg,http://gdb.voanews.com/F56BFE67-C32B-400F-905A-CFED3C0D3313_w640_r1_s.jpg,0,0,http://ichef-1.bbci.co.uk/news/624/media/images/83447000/jpg/_83447252_baa4bab1-8474-4b1a-868f-1cece51dcf9c.jpg,http://gdb.voanews.com/72D33A9C-A6D6-4084-B5FB-86E7D0B60B84_w640_s.jpg,http://ichef-1.bbci.co.uk/news/660/cpsprodpb/C43B/production/_85253205_028637194-1.jpg,http://ichef.bbci.co.uk/news/624/media/images/83447000/jpg/_83447250_7642d7ed-115c-4ce5-bb44-ae8159c1a6bf.jpg,http://gdb.voanews.com/DB4EC1D0-8860-412B-95D9-396DACD7B959_w640_s.jpg,http://ichef.bbci.co.uk/news/624/media/images/83447000/jpg/_83447250_7642d7ed-115c-4ce5-bb44-ae8159c1a6bf.jpg,http://ichef.bbci.co.uk/news/660/media/images/83447000/jpg/_83447226_83442309.jpg,http://ichef.bbci.co.uk/news/624/media/images/83447000/jpg/_83447250_7642d7ed-115c-4ce5-bb44-ae8159c1a6bf.jpg,http://gdb.voanews.com/72D33A9C-A6D6-4084-B5FB-86E7D0B60B84_w640_s.jpg,http://ichef-1.bbci.co.uk/news/660/cpsprodpb/C43B/production/_85253205_028637194-1.jpg,0,http://news.nationalgeographic.com/content/dam/news/rights-exempt/nat-geo-staff-graphics-illustrations/2015/09/SE_Asia_Migration_Routes_Map.jpg
http://www.left.it/wp-content/uploads/2015/10/belgrado-8.jpg,http://www.toscanaoggi.it/var/ezdemo_site/storage/images/mondo/medu-ecco-le-rotte-dei-migranti-forzati-tra-torture-e-oltraggi/2383384-1-ita-IT/Medu-ecco-le-rotte-dei-migranti-forzati-tra-torture-e-oltraggi_articleimage.jpg,http://images.centrepresseaveyron.fr/images/2015/10/07/le-president-francais-francois-hollande-d-prononce-un_990721_500x286.jpg?v=1,http://www.left.it/wp-content/uploads/2015/10/croazia-border-1.jpg,0,http://www.meltingpot.org/IMG/jpg/ungheria_20150828_48-2.jpg,http://www.left.it/wp-content/uploads/2015/10/belgrado-800x600.jpg,http://www.meltingpot.org/IMG/jpg/ungheria_20150828_78-2.jpg,http://www.meltingpot.org/IMG/jpg/ungheria_20150828_67.jpg,0,0,http://cdnit.ibtimes.com/sites/it.ibtimes.com/files/styles/v2_article_large/public/2014/03/25/2011/08/16/6638-immigranti-tunisini-su-un-barcone-diretto-allisola-di-lamped.jpg,0,http://cdnit.ibtimes.com/sites/it.ibtimes.com/files/styles/v2_article_large/public/2015/06/22/ventimiglia-migranti.JPG,0,http://www.glistatigenerali.com/wp-content/uploads/2015/09/05_CountriesOfOrigin29JUNE2015-1000x616.png,http://www.glistatigenerali.com/wp-content/uploads/2015/09/01_ScaleOfCrisis29JUNE2015-1000x750.png
http://www.ilgiornale.it/sites/default/files/styles/large/public/foto/2014/09/13/1410611536-immigrati.jpg,http://www.ilgiornale.it/sites/default/files/styles/large/public/foto/2014/09/13/1410611536-immigrati.jpg,0,0,0,0,0,http://www.lettera43.it/upload/editor/migranti2.jpg,http://www.lettera43.it/upload/editor/migrantiX.jpg,http://www.ilgiornale.it/sites/default/files/styles/large/public/foto/2014/09/13/1410611536-immigrati.jpg,http://www.lettera43.it/upload/editor/migrantiX.jpg,http://www.ilgiornale.it/sites/default/files/styles/large/public/foto/2014/09/13/1410611536-immigrati.jpg,http://www.lettera43.it/upload/editor/migrantiX.jpg,http://www.ilgiornale.it/sites/default/files/styles/large/public/foto/2014/09/13/1410611536-immigrati.jpg,0,http://www.lettera43.it/upload/editor/01-situazione.jpg,http://www.ilgiornale.it/sites/default/files/styles/content_foto_node/public/foto/2015/04/15/1429078043-immigra3.jpg
http://www.abc.es/Media/201508/28/calais-inmigrantes-trenes--478x270.jpg,http://www.noticiassf.com/wp-content/uploads/2015/09/refugiados.tierra.jpg,0,http://www.noticiassf.com/wp-content/uploads/2015/09/trenes.jpg,0,http://globedia.com/imagenes/noticias/2015/9/2/refugiados-dignidad-perdida-ruta-balcanes_2_2286137.jpg,http://globedia.com/imagenes/noticias/2015/9/2/refugiados-dignidad-perdida-ruta-balcanes_5_2286137.jpg,http://globedia.com/imagenes/noticias/2015/9/2/refugiados-dignidad-perdida-ruta-balcanes_5_2286137.jpg,http://www.noticiassf.com/wp-content/uploads/2015/09/refugiados.tierra.jpg,http://www.noticiassf.com/wp-content/uploads/2015/09/refugiados-tren.jpg,http://estaticos02.elmundo.es/assets/multimedia/imagenes/2015/09/21/14428551262783.jpg,http://www.clarin.com/mundo/Refugiados-Grecia-Macedonia-Hungria-Reuters_CLAIMA20150903_0101_4.jpg,http://www.noticiassf.com/wp-content/uploads/2015/09/refugiados.tierra.jpg,http://www.noticiassf.com/wp-content/uploads/2015/09/refugiados-comida.jpg,http://www.abc.es/Media/201508/28/rescate-inmigrantes-libia--478x270.jpg,0,http://irispress.es/wp-content/uploads/2015/09/150421144825_rutas_norte_africa.jpg
http://ichef-1.bbci.co.uk/news/ws/624/amz/worldservice/live/assets/images/2015/04/21/150421145325_egipto_alejandria_624x351_bbc.jpg,http://www.abc.es/Media/201508/28/rescate-inmigrantes-libia--478x270.jpg,0,http://ichef.bbci.co.uk/news/ws/660/amz/worldservice/live/assets/images/2015/05/29/150529140931_migrantes_collage_624x351_getty.jpg,0,http://ichef-1.bbci.co.uk/news/ws/624/amz/worldservice/live/assets/images/2015/04/21/150421145505_gambiano_624x351_bbc.jpg,http://ichef-1.bbci.co.uk/news/ws/624/amz/worldservice/live/assets/images/2015/04/21/150421145325_egipto_alejandria_624x351_bbc.jpg,http://cdn01.am.infobae.com/adjuntos/163/imagenes/013/301/0013301121.jpg,http://ichef-1.bbci.co.uk/news/ws/624/amz/worldservice/live/assets/images/2015/04/21/150421152247_migrants_libya_624x351_getty.jpg,0,http://www.abc.es/Media/201508/28/calais-inmigrantes-trenes--478x270.jpg,http://ichef-1.bbci.co.uk/news/ws/660/amz/worldservice/live/assets/images/2015/04/21/150421150710_getty__624x351_getty.jpg,http://cdn01.am.infobae.com/adjuntos/163/imagenes/013/301/0013301121.jpg,http://ichef-1.bbci.co.uk/news/ws/624/amz/worldservice/live/assets/images/2015/04/21/150421145505_gambiano_624x351_bbc.jpg,http://www.abc.es/Media/201508/28/rescate-inmigrantes-libia--478x270.jpg,http://cdn01.am.infobae.com/adjuntos/163/imagenes/013/301/0013301129.jpg?0000-00-00-00-00-00,http://ichef-1.bbci.co.uk/news/ws/624/amz/worldservice/live/assets/images/2015/04/21/150421144825_rutas_norte_africa.png
http://static2.mdhl.de/storage/scl/mdhl/artikelbilder/nachrichten/podo/5337067_m3w624h416q75v37658_dpa_148E6000818BDB04.jpg?version=1442417055,http://static2.mdhl.de/storage/scl/mdhl/artikelbilder/nachrichten/podo/5337067_m3w624h416q75v37658_dpa_148E6000818BDB04.jpg?version=1442417055,https://www.tagesschau.de/multimedia/bilder/schmidt-111~_v-modPremium.jpg,0,0,https://www.tagesschau.de/multimedia/bilder/libyen-197~_v-videowebl.jpg,http://static1.mdhl.de/storage/scl/mdhl/artikelbilder/nachrichten/podo/5337066_m3w624h416q75v54972_dpa_148E6000EAA7403E.jpg?version=1442417061,https://www.tagesschau.de/multimedia/bilder/flucht-kroatien-105~_v-modPremium.jpg,http://static1.mdhl.de/storage/scl/mdhl/artikelbilder/nachrichten/podo/5337066_m3w624h416q75v54972_dpa_148E6000EAA7403E.jpg?version=1442417061,http://static2.mdhl.de/storage/scl/mdhl/artikelbilder/nachrichten/podo/5337067_m3w624h416q75v37658_dpa_148E6000818BDB04.jpg?version=1442417055,http://static1.mdhl.de/storage/scl/mdhl/artikelbilder/nachrichten/podo/5337066_m3w624h416q75v54972_dpa_148E6000EAA7403E.jpg?version=1442417061,http://ais.badische-zeitung.de/piece/06/0e/0b/a7/101583783.jpg,https://www.tagesschau.de/multimedia/bilder/flucht-kroatien-105~_v-modPremium.jpg,https://www.tagesschau.de/multimedia/bilder/libyen-199~_v-videowebl.jpg,0,https://www.tagesschau.de/multimedia/bilder/asylbewerber-129~_v-videowebl.jpg,0
http://gdb.voanews.com/72D33A9C-A6D6-4084-B5FB-86E7D0B60B84_w640_s.jpg,http://ichef-1.bbci.co.uk/news/660/cpsprodpb/C43B/production/_85253205_028637194-1.jpg,http://gdb.voanews.com/F56BFE67-C32B-400F-905A-CFED3C0D3313_w640_r1_s.jpg,0,0,http://ichef-1.bbci.co.uk/news/660/cpsprodpb/C43B/production/_85253205_028637194-1.jpg,http://gdb.voanews.com/72D33A9C-A6D6-4084-B5FB-86E7D0B60B84_w640_s.jpg,http://ichef-1.bbci.co.uk/news/660/cpsprodpb/C43B/production/_85253205_028637194-1.jpg,http://gdb.voanews.com/72D33A9C-A6D6-4084-B5FB-86E7D0B60B84_w640_s.jpg,0,http://www.alaraby.co.uk/File/GetImageCustom/2e69f697-b09d-4df6-81e4-6a716947bae2/850/479,0,http://www.alaraby.co.uk/File/GetImageCustom/2e69f697-b09d-4df6-81e4-6a716947bae2/850/479,http://gdb.voanews.com/72D33A9C-A6D6-4084-B5FB-86E7D0B60B84_w640_s.jpg,http://ichef-1.bbci.co.uk/news/660/cpsprodpb/C43B/production/_85253205_028637194-1.jpg,https://www.tagesschau.de/multimedia/bilder/asylbewerber-133~_v-videowebl.jpg,http://cdn.zmescience.com/wp-content/uploads/2015/09/Central_American_Migrant_routes_Map.jpg
